counter_rating,counter_subscribers,info,link,name,tags
6499,184.0,"Заказная разработка, IT-консалтинг",https://habr.com/ru/company/arcadia/,Аркадия,"Программирование,.NET,C#,Дизайн,DevOps"
6511,52.0,Компания,https://habr.com/ru/company/gaijin/,Gaijin Entertainment,"Разработка игр,Работа с 3D-графикой"
5636,34.0,Делаем процесс создания сайтов и приложений проще,https://habr.com/ru/company/quarkly/,Quarkly,"JavaScript,ReactJS,Программирование,Учебный процесс в IT,Карьера в IT-индустрии"
5733,220.0,Удаленная работа для IT-специалистов,https://habr.com/ru/company/freelansim/,Хабр Фриланс,
5607,17.3,Компания,https://habr.com/ru/company/productsense/,ProductSense,"Мозг,Карьера в IT-индустрии,Здоровье,IT-эмиграция,IT-компании"
6447,119.0,Цифровизация процессов и документов,https://habr.com/ru/company/directum/,Directum,"Программирование микроконтроллеров,Конференции,Разработка систем связи,Микросервисы,Интерфейсы"
5633,60.0,Компания,https://habr.com/ru/company/linxdatacenter/,Linxdatacenter,"IT-инфраструктура,Инженерные системы,Облачные сервисы,Управление проектами,Виртуализация"
5776,359.0,"InterSystems IRIS: СУБД, ESB, BI, Healthcare",https://habr.com/ru/company/intersystems/,InterSystems,"Data Engineering,Python,Администрирование баз данных,Машинное обучение,DevOps"
6588,20.4,Компания,https://habr.com/ru/company/sibur_official/,Цифровой СИБУР,"Интернет вещей,Big Data,Разработка для интернета вещей,Беспроводные технологии,IT-стандарты"
5604,138.0,Компания,https://habr.com/ru/company/custis/,CUSTIS,"Oracle,.NET,SQL,C#,Angular"
5807,433.0,Номер один в России по материаловедению,https://habr.com/ru/company/misis/,НИТУ «МИСиС»,"Химия,Научно-популярное,Физика,Биотехнологии,Экология"
5797,113.0,We love IT,https://habr.com/ru/company/deutschetelekomitsolutions/,Deutsche Telekom IT Solutions (ex T-Systems),"Управление персоналом,DIY или Сделай сам,DevOps,Учебный процесс в IT,Машинное обучение"
5818,101.0,Разрабатываем облачный сервис управления торговлей,https://habr.com/ru/company/moysklad/,МойСклад,"Анализ и проектирование систем,Развитие стартапа,Облачные сервисы,Бизнес-модели,Подготовка технической документации"
5860,100.0,Компания,https://habr.com/ru/company/bashnipineft/,РН-БашНИПИнефть,"Карьера в IT-индустрии,Математика,Научно-популярное,Физика,Программирование"
5893,18.0,Российская мобильная доверенная ОС Аврора,https://habr.com/ru/company/omprussia/,Открытая мобильная платформа,"Информационная безопасность,Open source,Системное администрирование,Системное программирование"
4734,41.0,"E-commerce, продажи строительного инструмента",https://habr.com/ru/company/vseinstrumenti/,ВсеИнструменты.ру,"Управление продуктом,Управление персоналом,Карьера в IT-индустрии,Управление разработкой,Управление проектами"
5918,135.0,Лидирующий разработчик решений для хранения данных,https://habr.com/ru/company/seagate/,Seagate,"Хранение данных,Накопители,Хранилища данных,Работа с видео,Исследования и прогнозы в IT"
5837,27.7,"IaaS, VPS, VDS, Частное и публичное облако, SSL",https://habr.com/ru/company/1cloud/,1cloud.ru,"Информационная безопасность,IT-инфраструктура,Законодательство в IT,Серверное администрирование,Системное администрирование"
5810,690.0,Компания,https://habr.com/ru/company/group-ib/,Group-IB,"Информационная безопасность,Исследования и прогнозы в IT,Реверс-инжиниринг,IT-инфраструктура,IT-компании"
4733,110.0,Компания,https://habr.com/ru/company/acribia/,Акрибия,"Информационная безопасность,OWASP,Разработка веб-сайтов,Node.JS"
4984,30.0,Создаем решения для государства и бизнеса,https://habr.com/ru/company/ppr/,Программный Продукт,"Информационная безопасность,IT-компании,Java,Антивирусная защита,Проектирование и рефакторинг"
4814,922.0,Компания,https://habr.com/ru/company/rambler_group/,Rambler Group,"Разработка под iOS,Разработка веб-сайтов,Python,Rust,Разработка мобильных приложений"
4868,64.0,Крупнейший EdTech в школьном образовании,https://habr.com/ru/company/uchi_ru/,Учи.ру,"IT-инфраструктура,DevOps,Облачные сервисы,Usability,Учебный процесс в IT"
